,secID,tradeDate,ticker,ChgPct,Close,DownPct,LimitDownPct,LimitUpPct,MA5,MA10,MA20,MA60,MA120,MACD,DIFF,DEA,PB1,PB2,PE1,PE2,RSI12,TurnoverValue,TurnoverVol,UpPct,updateTime
0,000001.ZICN,2015-01-05,000001,3.5812,3350.52,17.6015,0.0,5.3191,3215.328,3139.037,3055.0975,2661.6915,2444.2169,19.8317,146.1619,136.2461,1.9841,3.996,14.7409,77.5765,78.6336,5.49760106398e+11,53135239100,74.2747,2019-04-02 21:17:45
1,000001.ZICN,2015-01-06,000001,0.0278,3351.45,31.4313,0.0,1.354,3254.098,3163.322,3075.7875,2677.9733,2455.1595,26.6113,152.8782,139.5725,1.9814,4.0332,14.7212,77.3318,78.6674,5.32398463844e+11,50166169500,59.6712,2019-04-02 21:17:45
2,000001.ZICN,2015-01-07,000001,0.6714,3373.95,47.0986,0.0,2.3211,3295.284,3187.972,3093.472,2694.7723,2466.2177,29.7925,158.1928,143.2966,1.9909,4.0793,14.7915,77.5253,79.5216,4.36416698934e+11,39191888000,43.0368,2019-04-02 21:17:45
3,000001.ZICN,2015-01-08,000001,-2.3856,3293.46,63.8298,0.0967,1.9342,3320.812,3214.057,3115.3315,2710.3387,2476.4412,17.3385,154.1331,145.4639,1.9393,4.0689,14.4083,77.1953,68.774,3.99230297448e+11,37113117000,26.9826,2019-04-02 21:17:45
4,000001.ZICN,2015-01-09,000001,-0.2444,3285.41,71.5667,0.2901,0.3868,3330.958,3245.345,3132.6015,2725.5343,2486.5666,4.9438,148.5538,146.0819,1.9395,4.0293,14.4101,76.5929,67.7746,4.58648012598e+11,41024087200,18.7621,2019-04-02 21:17:45
5,000001.ZICN,2015-01-12,000001,-1.7072,3229.32,73.0174,0.8704,0.677,3306.718,3261.023,3147.7805,2740.0813,2496.2503,-12.9067,138.0151,144.4685,1.9069,3.9647,14.1678,74.1677,61.0331,3.66273059514e+11,32206467900,19.6325,2019-04-02 21:17:45
6,000001.ZICN,2015-01-13,000001,0.1852,3235.3,20.0193,0.0967,0.5803,3283.488,3268.793,3162.637,2754.9833,2506.0812,-25.2895,128.6626,141.3073,1.9083,4.0116,14.1783,74.9936,61.4788,2.73588773806e+11,23072575400,70.5996,2019-04-02 21:17:45
7,000001.ZICN,2015-01-14,000001,-0.3975,3222.44,61.7391,0.0,0.3865,3253.186,3274.235,3176.088,2769.4118,2515.776,-35.9429,118.843,136.8145,1.9042,3.9848,14.1478,75.5988,59.8724,2.67204528501e+11,24019074700,28.7923,2019-04-02 21:17:45
8,000001.ZICN,2015-01-15,000001,3.5382,3336.455,13.3205,0.1931,1.0618,3261.785,3291.2985,3191.8347,2786.0251,2526.4592,-28.6784,118.8905,133.2297,1.9752,4.0328,14.6747,76.442,67.9676,3.30610537916e+11,28254624000,77.1236,2019-04-02 21:17:45
9,000001.ZICN,2015-01-16,000001,1.2001,3376.495,24.8555,0.0963,1.1561,3280.002,3305.48,3207.6085,2803.5242,2537.3009,-19.9405,120.7668,130.7371,1.9996,4.0772,14.8561,77.0486,70.2656,3.92253901947e+11,33987675300,63.7765,2019-04-02 21:17:45
10,000001.ZICN,2015-01-19,000001,-7.7046,3116.351,84.3931,16.3776,0.4817,3257.4082,3282.0631,3210.55,2817.0897,2545.9498,-49.0058,100.1085,124.6114,1.8394,3.9369,13.6659,74.0101,46.5801,4.09885991967e+11,40109878900,8.8632,2019-04-02 21:17:45
11,000001.ZICN,2015-01-20,000001,1.8195,3173.052,2.9865,0.1927,2.6975,3244.9586,3264.2233,3213.7726,2831.6026,2554.8497,-59.6895,87.3054,117.1502,1.869,4.0549,13.8856,76.3211,50.5441,4.16295210514e+11,35708081100,90.0771,2019-04-02 21:17:45
12,000001.ZICN,2015-01-21,000001,4.7449,3323.611,5.2023,0.0,2.5048,3265.1928,3259.1894,3223.5807,2848.8221,2564.8247,-46.1762,88.29,111.3782,1.9623,4.1642,14.5784,78.1983,59.2936,4.73758667167e+11,41095602400,87.1869,2019-04-02 21:17:45
